date,eod_sammy,eod_og,eod_grilled,eod_tenders,eod_thaw,eod_boxed,del_dark,del_tenders,prep_sammy,prep_og,prep_grilled,prep_tenders,waste_sammy,waste_og,waste_grilled,waste_tenders,oil_fries,oil_left,oil_right,logged_by,id
2026-03-04,7.1,4,3,5.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,e176b9f2e6bc4mig
2026-03-05,9.25,4.5,2,5.5,,,,50,30,4,1.25,3,3,,,,FALSE,FALSE,FALSE,,d3cad5b2d15a4mig
2026-03-06,8,3.25,5.5,3.5,,,,,,,,,,,,,FALSE,TRUE,FALSE,,e18aa9537abc4mig
2026-03-07,5.5,2.55,4.25,6,,,,,,,,,3.5,,,,FALSE,FALSE,FALSE,,fd70c11a47e54mig
2026-03-08,4.25,2,3.25,4.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,9169c9e1fb864mig
2026-03-09,3.25,1.75,3,6,,,,50,60,5,2,,,,,,FALSE,FALSE,FALSE,,5c96701a02d64mig
2026-03-10,7.5,3.5,2.5,4,,,,,,,,,,,,,FALSE,FALSE,FALSE,,cfb01c44148b4mig
2026-03-11,6.75,3.25,1.5,2.5,,,,,,,,,,,,,FALSE,TRUE,FALSE,,d17386016bea4mig
2026-03-12,4.5,2.75,1,5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,c49d6dcfb67a4mig
2026-03-13,5.25,3.25,4.5,6,,,,25,3,2,1,,3,,,,FALSE,FALSE,FALSE,,f26d1784234d4mig
2026-03-14,3.25,2.5,3.25,3,,,,,,,,,,,,,FALSE,FALSE,FALSE,,9fc6c793f1884mig
2026-03-15,2,2,3,3,,,,,,,,,3,,,,FALSE,FALSE,FALSE,,ea4fcd6493464mig
2026-03-16,4.5,2.25,2.5,2.25,,,,50,5,,,,,,,,FALSE,FALSE,FALSE,,45ff1d9ba6d74mig
2026-03-17,3,2,2,6.5,,,,,,,,,5.5,,,,FALSE,FALSE,FALSE,,9565e60dc8434mig
2026-03-18,1.7,2.75,4,4.8,,,,,,,,,,,,,FALSE,FALSE,TRUE,,deb2d27c81994mig
2026-03-19,4.75,3,3,6,,,,75,2,4,1,,4,,,,FALSE,TRUE,FALSE,,607eae34190f4mig
2026-03-20,6.75,3.8,3,8.25,,,,,,3.5,1,,4,,,,FALSE,FALSE,FALSE,,aab4a4525c814mig
2026-03-21,5,3.25,2.75,5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,070d8ab1ae924mig
2026-03-22,3,2.5,2.25,3.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,c0cd505f234c4mig
2026-03-23,4.5,2.5,2,4,,,,,,4,1,,2,,,,FALSE,FALSE,FALSE,,cd8c9bf0f90c4mig
2026-03-24,4.5,4,4,4,,,,,,3.5,1,,2,,,,FALSE,FALSE,FALSE,,cf1d3e0596a44mig
2026-03-25,3,3.25,3,3,,,,,,,,,,,,,FALSE,FALSE,FALSE,,1679eac0b6784mig
