date,eod_sammy,eod_og,eod_grilled,eod_tenders,eod_thaw,eod_boxed,del_dark,del_tenders,prep_sammy,prep_og,prep_grilled,prep_tenders,waste_sammy,waste_og,waste_grilled,waste_tenders,oil_fries,oil_left,oil_right,logged_by,id
2025-11-06,8.8,1.25,3.25,7.2,,,107,77,6,1,,5,2,,,,FALSE,FALSE,FALSE,,97f25b6e9ff74mig
2025-11-07,7.25,1.5,3,4.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,080f307513c74mig
2025-11-08,6.5,1.1,2.25,8,,,,,,,,,,,,,TRUE,FALSE,FALSE,,0d9d3e5190094mig
2025-11-09,5.5,0.85,1.5,6.3,,,,,,,,,,,,,FALSE,FALSE,FALSE,,edc1465bce424mig
2025-11-10,5,5,4.25,5,,,,,,,,,,,,,FALSE,TRUE,FALSE,,8ea52a6fd0ee4mig
2025-11-11,7.5,1.5,3.5,10,,,55,77,3,0.25,,5.75,,,,,FALSE,FALSE,FALSE,,e343a00580774mig
2025-11-12,7.5,1.5,3.25,8,,,,,,,,,,,,,FALSE,FALSE,FALSE,,29cff174d7694mig
2025-11-13,11,1.25,3,10.2,,,90,,,,,,,,,,FALSE,FALSE,FALSE,,6f93eb3c79204mig
2025-11-14,7,1.25,2.5,7.25,,,,,,,,,,,,,FALSE,FALSE,FALSE,,6cd5df7b4ea44mig
2025-11-15,5.75,0.75,2.5,4.25,,,,,,,,,,,,,FALSE,FALSE,TRUE,,0225d553fdc34mig
2025-11-16,5.25,0.75,2.1,3.15,,,,,,,,,,,,,FALSE,FALSE,FALSE,,9fa7bcb202964mig
2025-11-17,5.25,0.75,2,2.25,,,,,,,,,,,,,TRUE,FALSE,FALSE,,d4930a450db84mig
2025-11-18,7,0.75,1.5,6.25,,,55,88,,,3,,,,,,FALSE,FALSE,FALSE,,740a7b4ce00a4mig
2025-11-19,5.8,0.25,4,5.2,,,,,,,,,,,,,FALSE,FALSE,FALSE,,d1cd02eaf0bd4mig
2025-11-20,9.25,0.25,4,6.75,,,80,44,3.75,1,,3.5,1,,,,FALSE,FALSE,FALSE,,4946b35b467f4mig
2025-11-21,6.75,1.1,4,5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,b76490ec76e24mig
2025-11-22,5,1,3.5,2.15,,,,,,,,,,,,,FALSE,TRUE,FALSE,,c0cd1c3c203d4mig
2025-11-23,2,1,2,5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,22eb78c875ec4mig
2025-11-24,,,,,,,,,,,,,,,,,FALSE,FALSE,TRUE,,0a3802cbf6e94mig
2025-11-25,5,1.5,2,7.5,,,55,77,3,0.75,,5,,,,,FALSE,FALSE,FALSE,,d186a5bb9e1b4mig
2025-11-26,3,1.1,1.5,7,,,,,,,,,,,,,TRUE,FALSE,FALSE,,4e1fdee1b7ea4mig
2025-11-27,7,2,4,9,,,80,77,4.9,1,3,5,,,,,FALSE,FALSE,FALSE,,a806f85d87f84mig
2025-11-28,5.5,1.25,4,7.25,,,,,,,,,,,,,FALSE,FALSE,FALSE,,526e184c14d94mig
2025-11-29,2.1,1.15,3.75,8.15,,,,,,,,4,,,,,FALSE,FALSE,FALSE,,e55b467406db4mig
2025-11-30,1.1,1,3.2,5.25,,,,,,,,,,,,,FALSE,FALSE,FALSE,,2447f54706104mig
2025-12-01,1,1,3.5,4.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,4f1ab1d959284mig
2025-12-02,4.5,1.5,2.5,8,,,77,57,3.25,1,,3.5,,,,,FALSE,TRUE,FALSE,,6a6bfeae48ea4mig
